feature,module,A,fdr
MPZ,2,2.353416978106159,1.07627912748626e-196
DISC1,2,1.4552927108959417,6.3362797575783055e-52
LRRTM4,2,2.223553240939512,5.183607558224262e-157
MMADHC-DT,2,1.2211604264061848,4.523051065723416e-34
ADAM23,2,1.7080325661678317,1.1041600072371189e-71
ADAMTS9-AS2,2,1.012302675140858,2.4804849245629817e-20
GRAMD2B,2,1.0787799493480468,1.863859357464441e-26
GMDS-DT,2,0.9610912255417157,5.649615588873439e-14
ARPC1B,2,2.164369478448307,4.6754033403967864e-141
TMEM176A,2,1.7455640670232229,5.338518585259075e-77
NKAIN3,2,1.91069996117471,8.968968855567851e-97
CYP7B1,2,1.4944004952043548,1.4573021340254539e-55
RUNX1T1,2,1.7604273339890053,1.6881355776979643e-88
TRPM3,2,1.985548389809745,1.8720386289345813e-113
OAF,2,1.9581216782734758,1.1297312418842327e-111
INPP4B,2,1.106583541138582,2.561578115498114e-28
LAMA4,2,2.176112028119027,9.592550758881386e-163
AC073332.1,2,0.6108433204730412,5.7400321294043685e-06
GNG11,2,1.0896540975685483,1.7187337347558417e-24
SPRED1,2,1.7164440335172595,1.5146968615239025e-72
DAB1,2,1.3808124670860658,5.313781235737223e-37
ARHGAP31,2,1.1045908224274055,4.750990830839281e-22
LRMDA,2,1.8846117351442198,2.736675708392508e-106
FOXD3,2,1.9395915270467907,9.291236117653243e-116
GAB1,2,1.7973040571222265,3.6465658432119415e-79
ITGA2,2,1.5615218060938587,6.988538119232626e-63
PRSS23,2,1.7726803434939233,7.936646710746142e-80
MDGA2,2,1.7407169072807052,1.9467224689545196e-67
S100A4,2,0.7072578298003229,5.140257802492833e-08
HMCN1,2,1.5095057304166424,1.3834815490131385e-58
IGFBP7,2,0.9124108265611666,3.008242708313275e-15
RAI14,2,1.7257691770082038,6.5847320087685515e-80
ANXA1,2,1.8493208205966196,2.903481197900424e-101
PKNOX2,2,1.703950668516526,7.035828123421243e-73
STARD13,2,2.319779353106343,8.478577929622964e-204
DLEU1,2,1.6043125822155382,1.2065275276214386e-67
METRN,2,2.2629660749824803,9.452229934538608e-177
BACH1,2,1.4185378951301084,1.3367418467021643e-42
COL6A2,2,0.8632231352948796,1.735814594282922e-14
NRXN1,2,2.3373035449583397,8.825218064645579e-161
NAALADL2,2,2.0316855945616457,5.1341854189215274e-124
FHDC1,2,1.2025895276647947,4.436533590371926e-31
GLI3,2,1.8014160525627498,3.6059061350949146e-97
DOCK1,2,1.6155128404788828,1.3709250079342133e-72
ANO3,2,0.6741390817676949,1.1866306781405735e-06
PLA2G4A,2,1.102447291229742,3.168516626747289e-29
LYPD6,2,1.005573200507361,4.836087324377177e-18
AC104596.1,2,0.7171465936776045,9.260197483712979e-05
MAP3K1,2,1.4831862547134784,7.387939992478361e-46
MEGF10,2,1.5702706699570912,3.6282831229593742e-62
TMEM176B,2,1.7939863555788853,1.0155930563325045e-70
NOX4,2,0.6905890653545949,5.132234553920107e-06
SOX10,2,2.0280696907906792,2.098682063789664e-133
TMEM71,2,1.243212917020218,4.54600430903749e-34
NTM,2,0.9579035876991036,1.2129080787839964e-16
IL1RAPL1,2,2.378703410842085,4.691455127020064e-172
MEF2C-AS1,2,0.5981564848760843,9.022251065989461e-06
VWA8,2,0.9907117868809798,7.407324253230243e-16
FBN1,2,1.670140072133963,6.8140671586119065e-77
PHLDB2,2,1.3782538777329771,1.675304323167359e-48
IL1RAP,2,1.4578493220528854,6.701345699410278e-52
