feature,module,A,fdr
KIF20B,2,0.48795957932824446,0.0
KIF11,2,0.3964923480809643,0.0
MKI67,2,0.5248465707372755,0.0
CKAP5,2,0.4577970762703312,4.333601384048965e-267
H2AX,2,0.44582049283424197,0.0
CDCA3,2,0.3079422589681415,0.0
APOLD1,2,0.44632396809347935,0.0
TROAP,2,0.362845947022927,0.0
GAS2L3,2,0.3088341259525048,4.660352953055526e-197
CIT,2,0.31279069767062706,0.0
AC007368.1,2,0.41581248095836343,1.5710682228265186e-38
RFC3,2,0.5148418042897298,1.6901973245414348e-182
DLEU2,2,0.4941567062458473,4.5186128684167556e-194
CKAP2,2,0.3870597080698266,0.0
DIAPH3,2,0.8030690485398313,0.0
MIS18BP1,2,0.4198879414105583,0.0
POLE2,2,0.42316650757238616,1.5244949304953578e-51
CDKN3,2,0.4503933063162121,0.0
DLGAP5,2,0.4039819206939704,0.0
CEP128,2,0.42592412410701086,2.804445658742281e-224
CDCA4,2,0.38199354836724364,9.024287220704308e-165
ARHGAP11A,2,0.36246180042970794,0.0
BUB1B,2,0.33347399873276407,0.0
KNL1,2,0.5404185913428498,0.0
NUSAP1,2,0.3393878931058833,0.0
KIF23,2,0.37665631002979655,0.0
FANCI,2,0.30639588073177676,0.0
PRC1,2,0.4170223999980627,0.0
KIF22,2,0.3161212166126028,1.4410246486313173e-281
LINC01572,2,0.42120182990550065,0.0
TOP2A,2,0.8312120182608688,0.0
KIF18B,2,0.3321358465259136,0.0
PRR11,2,0.33252851263359107,0.0
BRIP1,2,0.5458465099414038,0.0
KPNA2,2,0.654304329557199,4.580210266205107e-221
TK1,2,0.49581956393605,4.574615926278323e-210
BIRC5,2,0.5379318882498993,0.0
TYMS,2,0.6144662750717205,0.0
NDC80,2,0.35869366600479685,0.0
ABHD3,2,0.4032079743221366,1.172011291514153e-104
MIR924HG,2,0.649208275703594,0.0
LMNB2,2,0.3301479248957021,4.325620204339762e-252
SPC24,2,0.33355230761084975,3.7665027249952542e-289
UBE2S,2,0.45730264266515946,1.3357488500307986e-253
TPX2,2,0.49267923540765424,0.0
UBE2C,2,0.8988239949737875,0.0
AP001347.1,2,0.3181366540072468,2.4385361427999532e-92
GTSE1,2,0.31602549452585094,0.0
KIF4A,2,0.41667956487741226,0.0
TMSB15A,2,0.4197314044488195,5.370228133988766e-178
GPR137C,2,0.39300155679506904,6.810890399899303e-76
CDC20,2,0.5142060129860347,0.0
CCNB1,2,0.5574147085530261,0.0
TUBA1C,2,0.5791109330330513,1.940532040700895e-191
CCNB2,2,0.5147184680690404,0.0
ARL6IP1,2,0.42774803720504856,1.1948761547219351e-257
HMGB3,2,0.5701198131334038,7.75149741096087e-279
PRSS23,3,0.3574365808092389,0.0
FBLN5,3,0.6279853398618596,0.0
CNTN5,3,0.43402254871801865,0.0
AFF3,3,0.30469014219335966,0.0
C1R,3,0.3263214238246311,0.0
NTN4,3,0.3357586293711189,2.0293238010473204e-21
BNC2,3,0.45410492426670623,0.0
WWOX,3,0.3329631966389748,1.6178151395701047e-37
RNF150,3,0.4221495402401356,7.640576550733915e-272
SETBP1,3,0.38323092259442604,5.5040638501122986e-185
TNNT2,3,0.38302384922855587,7.184942043887125e-31
MYH7,3,0.39168638602598094,1.9610775808143694e-16
ACTC1,3,0.37192983235491517,4.131827281524148e-28
